ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
1,10394-57-7,CCCCc1cc2ccccc2c2ccccc12,9-n butylphenanthrene,--,-1.85,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
2,104-72-3,CCCCCCCCCCc1ccccc1,Decyl benzene,--,-0.74,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
3,10605-21-7,COC(=O)Nc1nc2ccccc2[nH]1,Carbendazim,--,-3.74,"Perca fluviatilis, Cyprinus carpio","Perch, Common carp","L, L",2,0.00
4,107534-96-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,Tebuconazole,--,-1.92,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
5,108427-53-8,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorohexane sulfonate,PFHxS,-0.74,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
6,111-84-2,CCCCCCCCC,n-nonane,--,-0.89,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
7,112281-77-3,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,Tetraconazole,--,-2.05,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
8,112-40-3,CCCCCCCCCCCC,n-dodecane,--,-0.88,Oncorhynchus mykiss,Rainbow trout,"H, H",2,0.09
9,112-41-4,C=CCCCCCCCCCC,1-dodecene,--,-0.94,Oncorhynchus mykiss,Rainbow trout,"M, H",2,0.04
10,118-74-1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Hexachlorobenzene,HCB,0.25,"Oncorhynchus mykiss, Cyprinus carpio","Rainbow trout, Common carp","H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H, H",30,0.21
11,118-82-1,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,Binox M,--,0.16,Cyprinus carpio,Common carp,H,1,0.00
12,120068-37-3,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,Fipronil,--,-1.70,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.00
13,120-12-7,c1ccc2cc3ccccc3cc2c1,Anthracene,--,-2.05,Oncorhynchus mykiss,Rainbow trout,"M, H, H",3,0.01
