SMILES,Train,B02[N-O],MLOGP2,F06[C-C],nBT,Y calc/pred,Y exp
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,34.262,24,38,-1.51,-0.26
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,15.048,2,29,-1.07,-0.38
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,2.834,0,16,-1.43,-1.70
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,8.139,0,22,-1.57,-0.74
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,17.39,2,25,-1.14,-1.40
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,21.686,3,28,-0.94,-0.64
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,1,1,17.979,19,41,-3.11,-2.99
O=[S@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,0,0,9.706,0,27,-1.04,-1.30
O=[S@@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,1,0,9.706,0,27,-1.09,-1.00
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,0,16.321,8,26,-1.09,-0.86
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,0,0,7.019,7,31,-1.39,-1.70
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1,0,18.329,9,35,-1.39,-2.05
COCCN(C(=O)CCl)c1c(C)cccc1C,1,1,6.351,5,35,-3.17,-4.46
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,0,0,18.218,10,37,-1.78,-1.12
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,1,0,14.218,15,46,-1.74,-0.91
COC(=O)Nc1nc2ccccc2[nH]1,0,1,1.106,4,24,-3.55,-3.74
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,0,1,1.452,3,39,-3.55,-4.30
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,0,1,10.038,22,49,-3.18,-3.35
ClCC(Cl)CCCCCCCCCCC(Cl)CCl,1,0,36.068,8,43,-0.52,0.10
ClCC(Cl)CCCCCCC(Cl)CCl,1,0,25.194,4,31,-1.25,-0.66
ClCC(Cl)CCC(Cl)C(Cl)CCC(Cl)CCl,0,0,30.524,4,31,0.27,-0.04
Clc1ccccc1-c1ccccc1Cl,1,0,24.476,4,23,0.49,0.66
Clc1ccccc1-c1cccc(Cl)c1Cl,1,0,29.937,4,23,0.52,0.48
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,1,0,35.867,4,23,-0.25,0.22
Clc1ccccc1-c1c(Cl)cccc1Cl,0,0,29.937,4,23,0.51,0.57
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,1,0,35.867,4,23,-0.25,0.62
Clc1cccc(-c2ccccc2Cl)c1,0,0,24.476,4,23,0.55,0.27
Clc1cccc(-c2ccc(Cl)cc2Cl)c1,1,0,29.937,4,23,0.52,0.52
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,1,0,35.867,4,23,-0.25,-2.52
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1,1,0,35.867,4,23,-0.25,0.72
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,1,0,38.839,4,23,0.62,0.48
Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,1,0,44.917,4,23,0.71,0.01
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,0,0,16.737,6,24,-0.84,-1.13
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,0,18.786,6,24,-0.80,-1.09
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,1,0,29.937,4,23,0.52,0.58
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,1,0,29.937,4,23,0.52,0.47
Clc1ccc(Cl)c(-c2ccccc2)c1,0,0,24.476,4,23,0.55,-0.64
